================================================================================
SUNGROW MODBUS REGISTER CROSS-REFERENCE WITH OFFICIAL DOCUMENTATION
================================================================================

MAPPING COVERAGE
--------------------------------------------------------------------------------
Total Registers Captured: 582
Registers Documented: 21 (3.6%)
Registers Not in Documentation: 561 (96.4%)

DOCUMENTED REGISTERS (Official Sungrow Specification)
================================================================================

Unit_1
--------------------------------------------------------------------------------
Addr | Name                          | Type    | Unit  | Scale | Accesses | Value
--------------------------------------------------------------------------------
 5002| Fault Code 3                   | UINT16  | Code  | 1      | 117      | 745
 5003| Status Word 1                  | UINT16  | Bitfi | 1      | 117      | 3721
 5004| Status Word 2                  | UINT16  | Bitfi | 1      | 117      | 7
 5005| Alarm Code Active              | UINT16  | Code  | 1      | 228      | 4646

Unit_2
--------------------------------------------------------------------------------
Addr | Name                          | Type    | Unit  | Scale | Accesses | Value
--------------------------------------------------------------------------------
 5002| Fault Code 3                   | UINT16  | Code  | 1      | 118      | 785
 5003| Status Word 1                  | UINT16  | Bitfi | 1      | 118      | 3114
 5004| Status Word 2                  | UINT16  | Bitfi | 1      | 118      | 7
 5005| Alarm Code Active              | UINT16  | Code  | 1      | 229      | 4650

Unit_3
--------------------------------------------------------------------------------
Addr | Name                          | Type    | Unit  | Scale | Accesses | Value
--------------------------------------------------------------------------------
 5002| Fault Code 3                   | UINT16  | Code  | 1      | 118      | 741
 5003| Status Word 1                  | UINT16  | Bitfi | 1      | 118      | 54538
 5004| Status Word 2                  | UINT16  | Bitfi | 1      | 118      | 6
 5005| Alarm Code Active              | UINT16  | Code  | 1      | 219      | 207

Unit_4
--------------------------------------------------------------------------------
Addr | Name                          | Type    | Unit  | Scale | Accesses | Value
--------------------------------------------------------------------------------
    1| Serial Number High Word        | UINT16  | N/A   | 1      | 1        | 170
 5002| Fault Code 3                   | UINT16  | Code  | 1      | 117      | 752
 5003| Status Word 1                  | UINT16  | Bitfi | 1      | 117      | 1414
 5004| Status Word 2                  | UINT16  | Bitfi | 1      | 117      | 7
 5005| Alarm Code Active              | UINT16  | Code  | 1      | 224      | 207

Unit_5
--------------------------------------------------------------------------------
Addr | Name                          | Type    | Unit  | Scale | Accesses | Value
--------------------------------------------------------------------------------
 5002| Fault Code 3                   | UINT16  | Code  | 1      | 235      | 760
 5003| Status Word 1                  | UINT16  | Bitfi | 1      | 235      | 7113
 5004| Status Word 2                  | UINT16  | Bitfi | 1      | 235      | 7
 5005| Alarm Code Active              | UINT16  | Code  | 1      | 436      | 4687


================================================================================
UNDOCUMENTED REGISTERS (Not in Official Sungrow Specification)
================================================================================
These addresses are captured but not documented in official Sungrow specs.
They may be OEM-specific, manufacturer extensions, or private registers.

Unit_1
--------------------------------------------------------------------------------
Addr | Category          | Est Type   | Accesses | Most Common Value
--------------------------------------------------------------------------------
 5006| Faults_Alarms     | UNKNOWN    | 228      | 0
 5007| Faults_Alarms     | UNKNOWN    | 117      | 359
 5008| Faults_Alarms     | UNKNOWN    | 117      | 6728
 5009| Faults_Alarms     | UNKNOWN    | 117      | 2
 5010| Faults_Alarms     | UNKNOWN    | 117      | 11401
 5011| Faults_Alarms     | UNKNOWN    | 117      | 78
 5012| Faults_Alarms     | UNKNOWN    | 117      | 11431
 5013| Faults_Alarms     | UNKNOWN    | 117      | 79
 5014| Faults_Alarms     | UNKNOWN    | 117      | 11402
 5015| Faults_Alarms     | UNKNOWN    | 117      | 158
 5016| Faults_Alarms     | UNKNOWN    | 117      | 8889
 5017| Faults_Alarms     | UNKNOWN    | 117      | 2
 5018| Faults_Alarms     | UNKNOWN    | 117      | 7576
 5019| Faults_Alarms     | UNKNOWN    | 117      | 7784
 5020| Faults_Alarms     | UNKNOWN    | 117      | 7672
 5021| Faults_Alarms     | UNKNOWN    | 117      | 1041
 5022| Faults_Alarms     | UNKNOWN    | 117      | 1046
 5023| Faults_Alarms     | UNKNOWN    | 117      | 1048
 5024| Faults_Alarms     | UNKNOWN    | 117      | 0
 5025| Faults_Alarms     | UNKNOWN    | 117      | 0
 5026| Faults_Alarms     | UNKNOWN    | 117      | 0
 5027| Faults_Alarms     | UNKNOWN    | 117      | 0
 5028| Faults_Alarms     | UNKNOWN    | 117      | 0
 5029| Faults_Alarms     | UNKNOWN    | 117      | 0
 5030| Faults_Alarms     | UNKNOWN    | 117      | 7417
 5031| Faults_Alarms     | UNKNOWN    | 117      | 2
 5032| Faults_Alarms     | UNKNOWN    | 117      | 62508
 5033| Faults_Alarms     | UNKNOWN    | 117      | 65535
 5034| Faults_Alarms     | UNKNOWN    | 117      | 999
 5035| Faults_Alarms     | UNKNOWN    | 117      | 502
 5036| Faults_Alarms     | UNKNOWN    | 117      | 0
 5037| Faults_Alarms     | UNKNOWN    | 117      | 0
 5038| Faults_Alarms     | UNKNOWN    | 117      | 0
 5039| Faults_Alarms     | UNKNOWN    | 117      | 0
 5040| Faults_Alarms     | UNKNOWN    | 117      | 0
 5041| Faults_Alarms     | UNKNOWN    | 117      | 0
 5042| Faults_Alarms     | UNKNOWN    | 117      | 0
 5043| Faults_Alarms     | UNKNOWN    | 117      | 0
 5044| Faults_Alarms     | UNKNOWN    | 117      | 0
 5045| Faults_Alarms     | UNKNOWN    | 117      | 0
 5046| Faults_Alarms     | UNKNOWN    | 117      | 0
 5047| Faults_Alarms     | UNKNOWN    | 117      | 0
 5048| Faults_Alarms     | UNKNOWN    | 117      | 1500
 5049| Faults_Alarms     | UNKNOWN    | 117      | 0
 5050| Faults_Alarms     | UNKNOWN    | 117      | 0
